"type","municipality",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Indvandrere","Hillerød",3034,3177,3304,3409,3463,3586,3812,4135,4440,4701
"Indvandrere","Hørsholm",1769,1824,1860,1898,1892,2018,2117,2167,2303,2398
"Indvandrere","Rudersdal",4306,4520,4641,4586,4552,4723,4965,5143,5393,5522
"Indvandrere","Bornholm",1445,1484,1534,1555,1588,1666,1738,1957,2141,2304
"Indvandrere","Christiansø",2,2,2,2,2,2,5,6,5,2
"Indvandrere","Greve",3564,3702,3776,3823,3888,4043,4527,4837,5130,5338
"Indvandrere","Køge",3157,3293,3385,3451,3553,3747,3987,4443,4913,5166
"Indvandrere","Lejre",899,936,937,975,1040,1061,1179,1348,1493,1565
"Indvandrere","Roskilde",4976,5232,5348,5401,5479,5779,6040,6549,6988,6861
"Indvandrere","Solrød",930,1002,998,1041,1065,1135,1212,1353,1470,1507
"Indvandrere","Faxe",1195,1199,1275,1291,1431,1441,1579,1959,2297,2386
"Indvandrere","Guldborgsund",2731,2805,2856,2903,3015,3046,3192,3562,3823,4069
"Indvandrere","Holbæk",3656,3708,3777,3798,3804,3909,4030,4392,4756,5042
"Indvandrere","Kalundborg",1855,1896,1905,1879,1913,2032,2129,2346,2639,2819
"Indvandrere","Lolland",2206,2255,2229,2210,2197,2211,2272,2458,2591,2731
"Indvandrere","Næstved",3789,3982,3995,4096,4217,4410,4596,5006,5477,5846
"Indvandrere","Odsherred",1174,1239,1229,1229,1222,1278,1383,1606,1795,1879
"Indvandrere","Ringsted",2055,2159,2173,2269,2314,2437,2564,2866,3155,3213
"Indvandrere","Slagelse",4265,4334,4437,4582,4637,4790,5115,5434,5920,6275
"Indvandrere","Sorø",943,992,1054,1043,1030,1047,1164,1353,1558,1620
"Indvandrere","Stevns",737,770,781,817,862,927,1041,1177,1286,1460
"Indvandrere","Vordingborg",1810,1828,1903,1919,1891,1932,2132,2416,2768,2916
"Indvandrere","Assens",1315,1377,1335,1382,1437,1550,1743,2047,2386,2514
"Indvandrere","Faaborg-Midtfyn",1714,1788,1853,1865,2011,2161,2309,2538,2786,2955
"Indvandrere","Kerteminde",880,943,961,1001,1054,1098,1249,1379,1534,1559
"Indvandrere","Langeland",507,520,510,495,507,500,555,622,719,774
"Indvandrere","Middelfart",1375,1466,1450,1521,1579,1636,1782,2040,2194,2198
"Indvandrere","Nordfyns",973,1018,1043,1082,1163,1234,1388,1581,1765,1959
"Indvandrere","Nyborg",1452,1497,1479,1485,1519,1520,1634,1849,2088,2120
"Indvandrere","Odense",17183,17623,18039,18326,18749,19410,20415,21205,22238,22836
"Indvandrere","Svendborg",2853,2895,2930,2944,2964,3011,3077,3322,3530,3664
"Indvandrere","Ærø",269,288,320,322,318,324,319,335,359,381
"Indvandrere","Billund",1190,1279,1297,1411,1571,1710,1905,2105,2395,2575
"Indvandrere","Esbjerg",6772,7260,7525,7712,7831,8019,8370,8905,9338,9605
"Indvandrere","Fanø",168,187,192,190,179,199,211,236,277,286
"Indvandrere","Fredericia",2673,2888,3004,3071,3220,3363,3503,3707,3997,4096
"Indvandrere","Haderslev",3012,3120,3247,3339,3549,3625,3770,4080,4393,4544
"Indvandrere","Kolding",5662,5991,6107,6323,6480,6671,7167,7708,8331,8686
"Indvandrere","Sønderborg",5982,6119,6263,6607,6710,6773,6898,7149,7562,7777
"Indvandrere","Tønder",2510,2531,2540,2620,2709,2746,2770,2976,3236,3424
"Indvandrere","Varde",2200,2322,2428,2572,2696,2779,3004,3341,3731,3951
"Indvandrere","Vejen",1884,2030,2102,2154,2321,2464,2791,3054,3415,3594
"Indvandrere","Vejle",6143,6644,6878,7154,7501,7963,8386,9230,10139,10815
"Indvandrere","Aabenraa",5192,5265,5322,5399,5465,5592,5750,5969,6272,6604
"Indvandrere","Favrskov",1381,1515,1539,1653,1789,1812,2002,2422,2707,2867
"Indvandrere","Hedensted",1615,1758,1762,1785,1875,1924,2120,2381,2613,2821
"Indvandrere","Horsens",5912,6168,6386,6754,7182,7660,8062,8398,9434,10019
"Indvandrere","Norddjurs",1565,1609,1621,1661,1788,1940,1922,2170,2352,2621
"Indvandrere","Odder",871,933,966,965,1002,1029,1114,1212,1412,1561
"Indvandrere","Randers",3901,4142,4246,4463,4693,4881,5279,5826,6494,6799
"Indvandrere","Samsø",173,190,197,190,202,209,221,241,289,306
"Indvandrere","Silkeborg",3566,3718,3890,4153,4296,4475,4794,5214,5650,5985
"Indvandrere","Skanderborg",2062,2193,2298,2384,2417,2515,2605,2902,3230,3447
"Indvandrere","Syddjurs",1685,1721,1754,1792,1989,1994,2114,2390,2546,2712
"Indvandrere","Aarhus",29232,30899,31342,32624,33993,35294,35955,36398,38069,39752
"Indvandrere","Herning",4425,4891,5094,5351,5628,5918,6140,6449,7045,7550
"Indvandrere","Holstebro",2564,2639,2720,2803,2892,2967,3142,3382,3662,3888
"Indvandrere","Ikast-Brande",2038,2254,2309,2450,2558,2628,2927,3149,3517,3876
"Indvandrere","Lemvig",672,742,795,810,824,878,931,1048,1144,1233
"Indvandrere","Ringkøbing-Skjern",2830,3129,3145,3229,3374,3436,3651,3992,4329,4660
"Indvandrere","Skive",1710,1800,1777,1790,1805,1851,1910,2118,2389,2556
"Indvandrere","Struer",1082,1064,1081,1129,1156,1164,1208,1325,1509,1549
"Indvandrere","Viborg",3836,4141,4323,4461,4610,4926,5328,5884,6495,6933
"Indvandrere","Brønderslev",1091,1121,1143,1218,1235,1364,1534,1766,1939,2064
"Indvandrere","Frederikshavn",2327,2378,2426,2462,2611,2811,3111,3452,3749,3912
"Indvandrere","Hjørring",2512,2552,2662,2771,2895,3060,3327,3682,4070,4309
